mico/graph,mico/graph,mico/graph,nv,ne,md,17.2448,132.715,nv,ne,md,17.2448,188.32,
orkut/graph,nv,ne,md,1811.54,3253.22,nv,ne,md,1811.54,4615.57,
livej/graph,nv,ne,md,690.842,1985.64,nv,ne,md,690.842,2817.17,
youtube/graph,nv,ne,md,925.117,392.285,nv,ne,md,925.117,556.582,
com-dblp/graph,nv,ne,md,19.2695,33.4961,nv,ne,md,19.2695,47.5391,
cit-Patents/graph,nv,ne,md,280.858,77.4414,nv,ne,md,280.858,109.883,
mico/graph,
orkut/graph,
livej/graph,
youtube/graph,
com-dblp/graph,
cit-Patents/graph,
mico/graph,100000,2160312,1359,17.2448,132.715,100000,2160312,1359,17.2448,188.32,
orkut/graph,3072441,234370166,33313,1811.54,3253.22,3072441,234370166,33313,1811.54,4615.57,
livej/graph,4847571,85702474,20333,690.842,1985.64,4847571,85702474,20333,690.842,2817.17,
youtube/graph,7066392,114190484,4017,925.117,392.285,7066392,114190484,4017,925.117,556.582,
com-dblp/graph,425957,2099732,343,19.2695,33.4961,425957,2099732,343,19.2695,47.5391,
cit-Patents/graph,3774769,33037894,793,280.858,77.4414,3774769,33037894,793,280.858,109.883,
